response_id,linked_data_benefits,reviewer1_benefits_quality,reviewer2_benefits_quality,reviewer3_benefits_quality,reviewer4_benefits_quality,features_score_total
R_26mVjbbRNhXFRDy,Users can use an internet search engine to find a book and be told which nearby library has it available.  Researchers will be able to discover resources in other languages that they don't know.,0,2,2,1,5
R_2sR4WHBInSVxFl5,"Users will be able to find digital and print books in HathiTrust's catalog and Worldcat and request them in the format desired for direct delivery to the extent libraries can provide them lawfully. You won't have to worry about where you are getting it from anymore. It'll come from a library. In addition to HathiTrust as a potential example where linked data could be employed to unite digital and print books, libraries could work with OCLC on a next generation WorldCat that provides a combined experience, fulfillment and brand combining the best of Amazon, JSTOR, Portico, Netflix, GoodReads, and USPS. (In the next five years, our professional cataloging groups need to evolve to generate trusted bibliographic information sources in linked form, and local library acquisitions and other downstream collection management services will only need to manage items, item retention, rights and license information, not bibliographic information)",0,2,4,2,8
R_3fwOsaubueqzEGm,Users may benefit from a direct usage of linked data clusters in searching or analyzing text or images or from the invisible algorithmical work done by computers to expose and publish information in non-linear venues. Revision of library workflows around user's context can improve ROI on library expert work. Growing interest in simulation and emulation experiences and services require such networks to evolve.,1,0,3,2,6
R_1mCNamZXtmzGz3W,"Linking our library metadata to Wikipedia, DBPedia, and other large open source encyclopedia-like resources, can enhance our data with information we haven't ourselves had the time or expertise to include.  For instance, if a user would like to isolate a selection of our records concerning women composers, or African-American writers, a query can be run against Wikipedia's respective categories which will then pull relevant records from our library database.  Educating the public about this would be much easier than expecting overburdened catalogers to include EVERYTHING in their catalog records.",2,2,2,2,8
R_2YucXXHAIsKeato,"As the use of linked data grown much work will have to be done to clean up bad data, and incorrect / malformed links. I feel like much less static data will need to be loaded into ILS systems, which should fundamentally change the way that these systems function.",1,0,1,1,3
R_1kYL0LiONZk5BjL,"Any keyword search would retrieve library resources by accessing quality, structured metadata that could be easily purposed by the searcher.  It opens up a wide universe of information about people, corporate entities, topics (""concepts""), events, information artifacts and sources.",1,1,2,1,5
R_2uwX2oOJVfBSlWk,"Users will be able to build services out of our data, data driven services. Users are no longer tied down to the specific type of publication, instead they can focus on for example the entire work.",0,0,2,0,2
R_3fCAGZvhgzHd4Fa,"Thought of example: Connecting data from other cultural heritage institutions, museums etc. (in a national context but also broader) so that end users can search, find, explore and get access to artefacts, knowledge, and/or documents beyond the library collections.Other thought of examples (which might already be in use somewhere): Support end user search with the ability to ""understand"" their search based on semantic differentiation.Support the need of presenting library documents to end users in different ways; based on work-relations, based on relations to other media types such as ""show me all films that have used this work of music"", based on relations and properties such as ""show me all works written by a Nobel Peace Prize winner"", based on relations and properties that support inspiration to the end user (Netflix-like) given more than ""strict"" bibliographical metadata. ",2,2,4,3,11
R_3DbDkT0w4ixFqW1,"[There are collections] that are geographically distributed across multiple institutions. Linked data allows researchers the opportunity to learn where the collections are held and (hopefully) be able to access collections from distinct institutions online (maybe even side-by-side in a IIIF viewer!).[Institution] curators [...] use linked data to better understand how objects came into the collections. They can see what objects were sold at particular sales throughout history and piece together who was buying what at particular sales. They need to do this by accessing collections at other institutions.",2,2,2,2,8
R_eM7fuiGkow3fJst,"Users can search collections regardless of language or script. Variations in names or transliterations can be grouped into a single term without eliminating the variants.Information becomes richer by being connected to more systems and descriptions.",1,2,2,1,6
R_3Pw7gr07DMgHiCB,"Easily see and use contextual information while searching for library resources.Use more natural language searching (while still getting the benefits of controlled vocabularies).",1,0,2,2,5
R_3iWu0cfOc16nsPT,"[...] https://plains2peaks.org[...][...]https://bibcat.coalliance.org/[...][…]",3,2,1,3,9
R_3D1H3OG58BM4vBl,"For librarian: outsourced management of authority dataFor end user: wider scope of the library data, with informations about persons, organisations, projects, subjects, events: not only publications! Use case: browse from a person to its institution, and then to the events organised by the institution, and so on.",2,2,2,1,7
R_2zvFgPPFO0B7r7p,"Links among related material in different libraries. Example: library user finds book about a person of interest. Library user can see that another library has an archive of this person's letters.More interesting queries. A research could ask: ""Find all the books or articles published in the 1920s by members of this university's history department. Find all the books or articles published by alumni of this university who graduated in the 1920s.""Take advantage of authoritative information that is not in current authority records, and maybe is not created by the library, but by subject matter experts, and is translated by librarians into linked data. Example: my university has scholar who is an expert on Sigmund Freud and has discovered the identities of some previously unknown patients. Expressing these people and their relationship to Freud as linked data, a researcher can find resources related to all of these people. Other scholars and librarians could add to the linked data as additional relationships and details are known.",3,2,4,2,11
R_29m4ElHfCki7oKp,"can start search in the broader web vs. library databasescan inspire research - pick up a dropped thread",0,0,1,1,2
R_10BnUpYg4nDJTtk,"Things (URI) instead of strings for controlled vocabularies -- dynamically updates as changedExposing hitherto unrealized connections/social networksMetadata as Linked Data would allow scholarly meta analysis of digital collections across institutions",2,1,2,2,7
R_1IG9lTe4AUICBFc,"The benefits are intra-institutional as well, such as discovering information across traditional siloed datastores. For example, linking marc metatadata, with archival metatadata, vendored  metadata, geodata, and beyond to institutional research information. With the inferences that one can make using linked data, there's a tremendous benefit beyond just library users to administrative and research units within the university. For example, one could discover latent areas of research and proactively reach to support them. Budget decisions could be driven by statistics gathered from this information. Departments and schools that consume data, for research, or any other purpose, could see a cost savings if their information is discoverable to others because they would only be paying for one copy, as opposed to multiple per department. This is particularly true for geodata. Lastly, there could be an increase in multidisciplinary research because of a kind of cross-pollination with different areas finding intersections of interests.",3,2,3,2,10
R_3HMoej0NWQZynSb,"Link titles to summaries, reviews, cover images, etc.Link authors who are faculty to their university directory listing, vitae, researchLink authors, titles, subjects to discipline-specific databasesResearchers could select discipline-specific authorities, letting them search for persons, titles, subjects, etc. under the name by which they are known in the disciplineSimilarly, let people search by names and terms in other languagesLet a library _display_ names, titles, subjects in discipline-specific forms, other language forms, the form by which they are known locally, etc.Let _users_ choose which form to display names, titles, subjects, prioritizing multiple possible sourcesLink subject headings to subjects in journal databases to allow proper subject concept searching and faceting which encompasses both books and articlesLink geographic terms to CIA World Factbook, GIS services, census data, economic databases, etc.Allow someone to find books about a location by clicking on a mapTell a user that the author they are looking at in the catalog has a book reading somewhere in town tomorrow[...]",2,2,4,1,9
R_2QM2xCPCSay9uzb,"Library users will be able to find out about library items and digital collections through their preferred internet search engine (Google, bing, etc). Library users will be able to easily grab datasets related to library collections and use them in their digital humanities work. Library users will be able to click a link that performs a more precise search in an external application (for example, searches a VIAF identifier in the SNAC project) to find related resources in other institutions.",2,2,2,3,9
R_2QXwCeWMHgJGb0B,"Library users will have a richer experience of navigating from one found resource to other resources.Library users will be able to focus their resource discovery activities by specifying much more granular terms.",1,0,1,1,3
R_1FtUC1XJaHjWCdK,"The author example above would be a specific example.  If there are multiple authors with the same name linked data would only link you to books from your author, where an author name search would link you to books from both authors.Specific examples really depend on the data that is in the linked data store.  The advantage of linked data over tabular data is the use of a predicate to explain the relationship between the links.  If you had a subject link between books and LOC subjects the users could use that to browse your system based on a subject that they are interested in.  Theoretically since LOC subjects are a tree they could brows up the tree and then back down to get related items that would not show in a direct search.",3,2,1,2,8
R_3efwHoNBrXHwf1R,"When a reader is stuck on a jag, say Jane Austen, linked data will provide access to all ""variations on the theme"": film adaptations; zombies; Lost in Austen; customs of the period; etc. This not only leads the user to other library collections and Wikipedia, but to IMDB, Amazon, GoodReads, blogs, dissertations, etc. That's why they call it ""the world wide WEB.""",1,2,1,1,5
R_3EiDHoz8LsOz6mM,"Many libraries are using vendors to insert URIs for authorities in their catalog records as a first step toward eventually implementing more robust (and yet to be determined, in many cases) linked data initiatives; and Zepheira has created http://library.link/ which has transformed millions of bibliographic records into their version of BIBFRAME with the goal of making library holdings more visible to search engines. I believe this project is still in a relatively early stage of development.",3,0,1,1,5
R_2sRMDqiTbisLEsz,"Offer a means to automate the enrichment of the metadata from any other LOD databases that can be queried; For end users, providing access to the metadata as linked data enables more reliable big data methods to be applied for research purposes, etc.; 3) generally has the potential to create a more enjoyable, reliable search experience on a platform, esp. aggregated platforms.",2,0,2,2,6
R_2YxP7c6Acrw1817,"Linked open data has the power unlock special collections and archival collections.  By tagging content appropriately, we'll be able to discover and visualize resources and relationships that were invisible before (see Linked Jazz, UNLV's Linked Data Project, and UIUC's Motley Collection).",2,0,2,1,5
R_3nNIZnKto8Ig6J5,"surfacing geographically and other context-relevant library content in web search results so that any user might search for a book, an author, a string that matches to a journal article title, and pull up local or institutionally-relevant results and availability, (I'm thinking here of the knowledge graph, or the newish Google for Jobs as a model for the results, and, of course, for making library data more understandable to facilitate something similar);improving upon/moving beyond bib & authority record/ILS-based authority control by utilizing linking so that one of a number of possible authority sources, (e.g., VIAF), may be updated with real-time use by any linking organization, as well as associated with the same agent in different sources (e.g., ISNI, ORCID), to provide a user a web of connection/navigation of resources based on a common agent. (This is actually a couple of things, but the point is that understanding that a person who is an author of a book, say John A. Smith, is the same J. A. Smith who authored a number of journal articles, is the same John Smith who was interviewed in a documentary, not all of which might be sufficiently contained or updated in a single authority file, like LCNAF, much less be kept current in an individual library's copy of the authority record in their local system -- and certainly the name wouldn't be controlled across e-content metadata as surfaced in a discovery layer, nor within search results on the web from myriad sources.)",3,2,2,2,9
R_1mEIvKawJZ9BTZh,Linked data can help end users learn more about any topic semantically represented online. It can also help provide more accurate information (or make identifying false information easier) through graph connection strength. Information can be more precisely gathered - disambiguation can be based on context and graph connections.,2,0,2,2,6
R_2f3fYgXUc5pleKD,"Through a search interface, users will be able to connect search terms to specific people and projects. Through a browse interface, users can explore people and projects along a knowledge graph.In an IR environment, users could discover papers from across disciplines that would be helpful to their research. Google is already leveraging linked data through their Knowledge Graph, a feature that millions of users encounter every day.",2,2,2,2,8
R_2E0JSAGWzfJcblF,"I think it's important to clarify between language-specific iterations of Wikipedia and the language-bridging Wikidata, which connects (to use IFLA-LRM terminology) a ""res"" with its various ""nomen"": en=Earth, es=Tierra, fr=Terre, ru=[..]etc.  I see the potential for language-neutral navigation of library collections as particularly valuable (at least for some users).Linked data could also allow users to navigate library catalogs at the level of the work (however that might be locally or custom defined), rather than at the (typical) level of the edition/format.  A public library might purchase a popular title in five formats (print, ebook, large print, cd audio, eaudio) or a movie in three (dvd, blu, streaming vid): if the terms in the title are short or common, this creates lots of near-duplicates in the results.  Same goes for different reprints of ""perennial"" or classic titles.  I imagine (at least some) users would value this type of aggregation.A pervasive linked data environment could enable users to generate requests for library purchases directly from (say) Amazon, publisher, or author websites.A pervasive linked data environment could enable expert/engaged users to contribute information that might otherwise fall outside the scope of the catalog: from character names, to intricate sub-series relationships, or any other detail they deem important (but appears to be missing).Linked data could allow for things like sequence/numeration to be treated as a coded value rather than a strictly transcribed element.  This could offer users better success when searching for the ""complete second season"" which might've been published (variously, over time) as ""season 2"", ""season two"", ""series II"", etc.  (I consider this the legacy of ""uniform"" headings evolving into ""multiform"" access points.)",3,2,3,3,11
R_29oad2HyFfnsIxk,linking to relevant and useful (meta)data; supporting and expanding discovery of and access to libraries' collections,1,0,1,0,2
R_1NtsiqmuRTByu1q,"Exposing special and archival collections through search engines is going to revolutionize the way research is done. I can imagine searching the internet and coming up with amazing lists of primary sources and where they are located, rather than having to work on word of mouth and fond lists. Zepheira is starting to offer some very interesting ways to use linked data for libraries. Social media posts and living lists are very encouraging offerings.",2,2,1,2,7
R_XzARyy1onsX2ODT,"Linking between different media formats to give patrons well-rounded informational options.Linking between databases.",1,0,1,1,3
R_1E4HS1pfW1WyNRA,"Europeana Linked Heritage http://pro.europeana.eu/project/linked-heritageI'd like to see Archives and Library collections linked. At the moment in the UK [there are] 2 separate silos of data. It would be fantastic if the Archives Hub & COPAC could be cross-searched for the benefit of users. e.g. Artists books are often catalogued as books but their creators are artists whose personal papers may be catalogued as archival materials. What if Artist A created an AB and actually wrote about that process? It's not possible to make the linkages at present.",1,2,2,1,6
R_3P5BAQFOZaTrB0Q,Library users will have access to better contextual information in library catalogs that can enrich records with linked data,1,0,1,1,3
R_1DU8ajE0IZgTn2S,"For example, in a institutional repository,  to discover research topics that are being studied by different departments to look for opportunities to do interdisciplinary projects.",1,2,1,1,5
R_ZfKCYB0yaAPYlb3,"Discoverability of library collections themselves : new links between resources will allow the computing of other links between distant resources more losely related, such as a work and works inspired by the first one.Possibility of opening the library on other professional community through shared ontologies.",2,2,2,1,7
R_1KkB4dnUzeyw9om,"Linking from one information source to another to enable onward discovery (e.g., from a discovery tool to related resources).Linking into a local digital repository from elsewhere to expose and make available local digital collections.Enhancing discoverability through linking to high quality authority records.",2,2,1,1,6
R_Ugz4sU20UTrdCX7,"Discoverability of, and access to related  images (two dimensional), moving images, sound recording resources.  One example is using Linked Jazz to find out who played at Carnegie Hall, and what their wider relationships were (Data Interlinking: Linked Jazz and Carnegie Hallù).  Another example is using VIAF for finding or for creating name authority records, and for disambiguating identities across 43 national catalogs.  Yet another, the Google Knowledge Graphs.[...] users benefit from the LD versions of the Getty tools, i.e., artists art sales, from their collection of auction catalogs.  Creation of new resources: visualizations of art and art history topics, discovery of minor/marginalized/unpublished/non-glamorous artists; trends; histories. ",2,2,4,1,9
R_3ElKh8LhPqYRExO,"Users will be able to discovery and access more information by traversing data across systems, universities, etc. Users will be able to use and interact with collections in new and innovative ways, such as annotating digital special collections and exploring entities embedded in creative works.",2,2,2,1,7
R_3IaGjwwatu5jboQ,"[…] I want to be able to use already-existing Non-NAF sources of identity management.  Library users will still be able to disambiguate and cluster identities, but pull from a much wider range of sources",,2,0,1,
R_28UTsJaFUFEyEGL,"Discover other resources related to the subject of a catalog search that was made.Provide other items in the catalog that might be relevant.",1,0,2,1,4
R_1hYAqUBco1movzr,"Consistency among heading lists world wide VIAFDOI - for article location",1,2,2,1,6
R_10IX276oAEOZJgE,"I think one way libraries can utilize linked data is to provide more information through the catalog by pulling in information from other places, especially about authors and topics. Library users would be able to click on a button near the author's name or a subject heading to bring up more information. This would allow a user to learn more about the author or subject before selecting an item to check out. It could show awards an author has won, photos of a place described in the book, or brief descriptions of the topics the book covers.",2,2,2,2,8
R_PSAoEAlDEA1bhq9,"I don't actually like the idea of tying in with Wikipedia very much, although that could be because it's been badly-implemented so far in ways based on keyword searching. Implementations of Schema are at least a little better for improving discovery of unique materials in search engines. Archival institutions seem to have more success in this area, probably because their materials surface better in search results. Connecting government linked open data to our holdings would also be a useful activity. Or simply helping library patrons learn to connect between external sources of information.",2,1,2,2,7
R_22Kcig38hm3SBoB,See the authority file in a user-friendly way.,1,0,1,0,2
R_RCbWYRa6QGjajPb,"Not quite linked data, but related; the same vocabularies that would enable linked data might also be used to make library holdings available to commercial search indexes, enabling patrons ""in the wild"" to find things in the library that they otherwise would turn to Amazon, Netflix, or somewhere else to access.",1,0,1,1,3
R_vJKEU6KqNjUfzk5,"The capability to cluster metadata around an opaque URI provides the prospect of providing information appropriate to the context and perhaps even to the needs of an individual user.  This has been illustrated in RIMMF, which pulls metadata from RDA Registry and presents it in a choice of languages (limited by RDA translations).  It is possible to envisage a display in which element labels, definitions and metadata itself can be rendered in the language and script of the user.",2,2,2,2,8
R_2YLITwqaHEJSjZQ,"http://experimental.worldcat.org/fast/fastconverter/FAST subject headings in bibliographic records. Converter tool converts traditional LC subject headings into subjects in a linked data model",1,0,1,2,4
R_3h3dUbXkhTQVpgY,"OCLC Identities, Classify, VIAF, Europeanna",0,1,0,2,3
R_4MWXdx3l4Pz3AiJ,"Linked data is really for machines at this time, not necessarily users, yet.  The second step of writing code between the links is pretty nascent. Linked data can make data more findable in search engines by using schema.org. Linked data can also be used to tie concepts across repositories such as historic Pacific kelp collections  [...] and current [...] kelp research[...].",2,0,2,2,6
R_3gMea1SEdenvPJ8,"We've been part of a pilot (more as onlookers than active participants) in a project that would like CONTENTdm collections. [...] also working with NDLTD fields in [...]IRs. As well as beginning (very preliminary stages) to consider the transition of our catalog to linked data.In these three areas users would be able to see what's available from anyone who has used linked data like us. WWI veterans, as a topic, might lead users to other materials at other institutions. Events that have happened one location over time could be linked through spatial metadata.",2,2,1,2,7
R_3gN8yrLN6ujHKhU,scholarly records controls with author's publications and it's affinity or its funding issues or outside campus collaborating institutions and scholars.  Find out various formats of an manifesto,1,2,1,2,6
R_Q9ZD73qFWmvyX5f,"Bibliographic records that link to table of contents or reviewsAudio recordings linked to a historical timeline",1,2,1,1,5
R_3PRcuITC8E4o6dC,The creation of knowledge cards in an OPAC.,0,2,0,1,3
R_XFKUHggLOvxb71v,"I'd like to see linked data used to enhance discovery WITHIN library connections. Right now, webscale discovery is basically the best way to search across all of a library's materials (that are in the index). I'd like to see linked data applied to databases, eBooks, institutional repositories, data repositories, etc. So, for example, if a user searches for a particular topic in a federated or web-scale search (although these are mostly vendor-run, so who knows with them) the discovery system can return items that match their search AND related tools/types of tools such as databases, libguides, journals, etc. Maybe suggesting what *kind* of tool would be relevant based on the search.",2,2,3,1,8
R_2w6Rti7f9Obsmr4,"I've been following developments with Zepheira's Library.Link network and Casallini Libri's SHARE VDE platform. In these systems, users should be able to query any kind of resource type (e.g., persons, documents, places, topics) and receive results that situate the resource within a network of relationships with other resources, thereby allowing navigation and browsing superior to what libraries currently offer. In theory, both of these initiatives should improve findability on the Open Web, as they create a dense web of reciprocal links among participating libraries and resources, and therefore boost relevance ranking in query results lists",2,0,2,2,6
R_3D22t74XIgU72Tt,"My examples are outside the library: Netflix makes genre recommendations on-the-fly for things like ""witty Korean shows"" and ""horror films with a strong female lead"" by linking your viewing habits with metadata descriptions from their programming. For cell phones, many mobile maps take notice of linked data, based again on your past preferences, to recommend restaurants, gas stations, etc. ... and attempt to sell you other things.",1,0,2,1,4
R_pseDJs07Mhe9UHf,"I'm not sure if this is included, but I think it could link libraries to each other, not just through Wikipedia.",1,0,1,1,3
R_3Lc2eHT8MJTS5hT,"I don't know. I honestly don't yet have a good idea of practical applications. However: I think there's scope for defining and playing with metadata from defined (or user-defined) collections of material. Ie., Import the bibliography from my thesis, use tool to analyze publishers/place of publication/common subjects. For instance, it should allow (eventually) the generation of a map with the locations of printing locations pulled from the 264-3. This would not exclusively use linked data, but it would use tools that linked data will hopefully allow the development of. It should allow people browsing the catalog to more easily navigate what we now call subject headings. For instance, a book about French history. Currently, if you want to move from that to a book about the history of Paris, you have to do a new search. Theoretically, with linked data, and improved relationships between subject authority metadata, you should be able to define 'no, I want something more specific than French history.' and drill down one administrative unit.",1,1,3,1,6
R_em1MCqjJjH5TLgZ,Linked data applications will largely be invisible to library users. Users will (eventually and hopefully) reap the benefits of linked data through more accurate search results and discovery of related items of interest that may have previously been unavailable to them.,1,0,1,1,3
R_2rIWewazQj9FsWN,Conduct advanced searches utilizing additional information made available via URIs.  Potential improvements to maintaining authority information,2,1,1,1,5
R_1K9L1nvvrS1cxaL,The Taxonomy and Ontology in various fields.,1,0,0,0,1
R_2xXdEoGviH2JSDg,"Making collections accessible across libraries? Using digitized versions of specific objects discoverable on the open web? Highlighting research-curated (graduate student, faculty) datasets designed for reuse and reusability?(honestly I'm not totally sure I still understand LoD)",2,0,1,1,4
R_2feLV2mShwjfy9l,links to other works by an author,1,2,1,0,4
R_1gi1HnSxBbGnp5a,"Linked data can also improve the way of searching, like Google",0,0,0,1,1
R_3rN90Ldho7Nwxu1,[…] https://wiki.duraspace.org/display/LD4P/Project+Pages for a list. How any of these will help users do anything novel or useful remains to be seen.,1,1,0,1,3
R_25BgvIUv1wkD1va,I don't know of any.,0,0,0,0,0
R_2V2cuuSdcvgVP8D,I don't know of any,0,0,0,1,1
R_3HNsyo6HY6bKhcr,I cannot provide two useful examples.,0,0,0,0,0
R_1r1Gmn7yuNTS9ma,"Nothing more than they can already do now.  This is a clear case of the emperor having no clothing, and/or a giant bill of goods being sold to unsuspecting and tech ignorant library personnel.",0,0,0,0,0
R_2wzzmuRKCzj7pGz,"None.Nothing.",0,0,0,0,0
R_1MXvzZQHnCaFu1s,"I do not think Wikipedia is a reliable source of information, so I would not connect patrons to that resource.",0,0,0,0,0
R_2zSezVPiBf6Pp1y,"As an [...] expert, I often ask people this very question and they are usually someone stumped. I think it could be useful for data analysis and machine learning, but I'm skeptical of linked data providing real-time UI enhancements that are meaningful to end users.",1,0,0,1,2
R_295oDIGccHPby0l,I know of no other examples of Linked Data. As far as I can see it's just an idea that people hope will become popular and practical that hasn't yet.,0,0,0,1,1
R_3EZmVPtp2E3g3Ed,Linked data does not have library users in mind as the system's clientele. Linked data is supposed to allow internet users (semantic web users) to access information stored in library knowledge bases without having to learn how to navigate the traditional catalog. There is a belief that there will be synergistic amplification when library-accumulated knowledge interacts better with the knowledge bases of other communities. It has little to do with the discoverability of library collections except indirectly. Digitizing special collections material has received some increased priority because of a belief that processing them using linked data protocols is moving library collections in general closer to a linked data future. There is no proof of this.,2,0,0,1,3
R_1gztyDx7mEUx9rF,"I see absolutely *no* benefit to individual libraries or consortia using linked data.  In fact, I see it creating too much chaos.  The better model, in my mind would be for the major bibliographic utilities (such as OCLC), vendors (such as Ex Libris) and libraries of record (such as the Library of Congress, Harvard, Yale, etc.) to publish their metadata as BIBFRAME for ingestion by search engines and virtual assistants.  We're honestly going about this all wrong.  Think about how the cinema industry works:  show times aren't published as linked data directly to the search engines and virtual assistants; they are delivered to services like Fandango or IMDB and the search engines and virtual assistants then ingest the linked data from a centralized service.  This is how we need to operate.  Moreover, BIBFRAME should not be thought of as a replacement for MARC.  MARC is an excellent format for what it does.  Rather, BIBFRAME should live alongside MARC for the sole purpose of the major players publishing linked data.",3,0,0,1,4
R_2ePgUE1yRGs6fbY,Get drowned in irrelevant data. See #2,0,0,0,0,0
R_2ctPumKlvoRc9S8,Not something I would do.,0,0,0,0,0
